Report ID;ComponentName;Model;Serial Number;Component Code;Failure;Additional Failure Description;Parent Case;Failure SMR;Active Stage;Failure2;Failure3;Failure32;Delivery;Failed Part Number;Failed Part Name;Component Name;Phenomenon Name;Plant;Current Queue;Status Reason;Created;Distributor;Subsidiary;Issue2;Additional Notes(Request);Distributor Contact;Filial DB code;Filial DB Name;LT DB;FY;YEAR
KBISP202209501;PC130LC-10M0, RADIATOR GROUP, NA, HIGH/LOW LEVEL,   ;PC130LC-10M0;B20095;551 - Operator's Cab;Glass;NA;;70;Plant.Confirmed;16/08/2022;29/08/2022;22/06/2022;03/08/2022;NA;NA;RADIATOR GROUP;HIGH/LOW LEVEL;KDB (Plant) (51);KDB - Quality Assurance;In Process;01/09/2022;BAUKO (213SPA);KBI (9447);01/09/2022;"CASO RETOME O VAZAMENTO, ENTRAR EM CONTATO COM A BAUKO.
FOI REAPERTADO TODAS AS PRESILHAS DA LINHA DE ARREFECIMENTO, COMPLETADO O LIQUIDO ARREFECIMENTO E O EQUIPAMENTO VOLTOU A OPERAR SEM VAZAMENTOS.";Rafaella Ribeiro;213SPC;Bauko;16;FY2022;2022
KBISC202209502;PC130LC-10M0, RADIATOR GROUP, NET, MALFUNCTION, FALTA DA TELA DE PROTEÇAO DOS RADIADORES  ;PC130LC-10M0;B20013;301 - Track frame;Missing part;FALTA DA TELA DE PROTEÇAO DOS RADIADORES;;468;Plant.Confirmed;26/08/2022;;21/03/2022;12/04/2022;204-03-71411;NET;RADIATOR GROUP;MALFUNCTION;KDB (Plant) (51);KDB - Quality Assurance;In Process;06/09/2022;MANTOMAC-CHA (213SCA);KBI (9447);06/09/2022;EQUIPAMENTO NOVO COM AS MANUTENÇOES EM DIA.;Luciana Lumbieri;213RSB;MANTOMAC-CHA (213SCA);11;FY2022;2022
KBISP202209505;PC130LC-10M0, ACCESSORY & PARTS, Cover, WRONG/MISSING PART,   ;PC130LC-10M0;B20089;716 - Bucket;Bucket clearance;Cover;;5;Plant.Confirmed;08/08/2022;30/08/2022;21/06/2022;;203-46-56160;Cover;ACCESSORY & PARTS;WRONG/MISSING PART;KDB (Plant) (51);KDB - Quality Assurance;In Process;09/09/2022;BAUKO (213SPA);KBI (9447);09/09/2022;;Luis Siqueira;213SPA;Bauko;32;FY2022;2022
KBISC202209504;PC130LC-10M0, AIR CONDITIONER, SUPORTE CONDENSADOR, BROKEN, QUEBRA DO SUPORTE DO CONDENSADOR  ;PC130LC-10M0;B20051;450 - A/C;Condensor support crack;QUEBRA DO SUPORTE DO CONDENSADOR;;568;Plant.Confirmed;09/09/2022;;26/04/2022;13/05/2022;204-03-72111;SUPORTE CONDENSADOR;AIR CONDITIONER;BROKEN;KDB (Plant) (51);KDB - Quality Assurance;In Process;12/09/2022;MANTOMAC-CHA (213SCA);KBI (9447);12/09/2022;Obs: Já foi notado em todos os equipamentos recebidos novos na Mantomac deste modelo (PC130LC-10M0) que este suporte do condensador possui folga nas dobradiças, e com o trabalhar do equipamento há o balançar/trepidar de toda a estrutura (suporte do condensador e condensador). Necessário avaliar internamente.;Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);3;FY2022;2022
KBISC202209510;PC130LC-10M0, AIR CONDITIONER, TRAVA SUPORTE CONDENSADOR, SERVICEABILITY, FOLGA NA TRAVA DO SUPORTE DO CONDENSADOR  ;PC130LC-10M0;B20056;450 - A/C;Condensor support crack;FOLGA NA TRAVA DO SUPORTE DO CONDENSADOR;;231;Sub.Received;31/08/2022;31/08/2022;02/05/2022;01/06/2022;2A3-03-12850;TRAVA SUPORTE CONDENSADOR;AIR CONDITIONER;SERVICEABILITY;KDB (Plant) (51);KBI - Construction Service;In Process;14/09/2022;MANTOMAC-CHA (213SCA);KBI (9447);14/09/2022;"Favor consultar a TSI: KBISC202209504 que trás a falha semelhante, porém neste caso houve a quebra da solda da dobradiça deste suporte do motor.
Equipamento do mesmo modelo: PC130LC-10M0 e série: B20051.";Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);14;FY2022;2022
KBISC202209512;PC130LC-10M0, AIR CONDITIONER, TRAVA SUPORTE CONDENSADOR, SERVICEABILITY, FOLGA NO SUPORTE DO CONDENSADOR  ;PC130LC-10M0;B20080;450 - A/C;Condensor support crack;FOLGA NO SUPORTE DO CONDENSADOR;;222;Sub.Received;16/08/2022;16/08/2022;03/06/2022;22/06/2022;2A3-03-12850;TRAVA SUPORTE CONDENSADOR;AIR CONDITIONER;SERVICEABILITY;KDB (Plant) (51);KBI - Construction Service;In Process;16/09/2022;MANTOMAC-CHA (213SCA);KBI (9447);16/09/2022;Problema já encontrado em mais equipamentos deste modelo.;Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);31;FY2022;2022
KBISP202209507;PC130LC-10M0, RADIATOR GROUP, NIVEL BAIXO ANTICONGELANTE, HIGH/LOW LEVEL, NIVEL BAIXO LIQ ARREFECIMENTO NO RESERVA  ;PC130LC-10M0;B20116;450 - A/C;Condensor support crack;NIVEL BAIXO LIQ ARREFECIMENTO NO RESERVA;PC130LC-10M0, TC COOLER & OIL COOLER GROUP, NIVEL BAIXO ANTICONGELANTE, HIGH/LOW LEVEL,   ;116;Plant.Confirmed;15/09/2022;15/09/2022;20/07/2022;24/08/2022;600-411-1113;NIVEL BAIXO ANTICONGELANTE;RADIATOR GROUP;HIGH/LOW LEVEL;KDB (Plant) (51);KDB - Quality Assurance;In Process;16/09/2022;BAUKO (213SPA);KBI (9447);16/09/2022;;Calvin Lee;213SPB;Bauko;1;FY2022;2022
KBISP202209508;PC130LC-10M0, ACCESSORY & PARTS, PARAFUSO, DEFECTIVE ADJUSTMENT,   ;PC130LC-10M0;B20144;716 - Bucket;Bucket clearance;PARAFUSO;;4;Sub.Received;15/09/2022;15/09/2022;24/08/2022;;22B-32-21230;PARAFUSO;ACCESSORY & PARTS;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);KBI - Construction Service;In Process;16/09/2022;BAUKO (213SPA);KBI (9447);16/09/2022;;Luis Siqueira;213SPA;Bauko;1;FY2022;2022
KBIMB202209516;PC130LC-10M0, ARM, Mangueira, ENTER/LEAKS, Vazamento mangueira braço lado direito  ;PC130LC-10M0;B20136;6A0 - Hydraulic piping;Hose leak;Vazamento mangueira braço lado direito;;4;Plant.QA Approved;23/08/2022;23/08/2022;16/08/2022;;02756-20513;Mangueira;ARM;ENTER/LEAKS;KDB (Plant) (51);KDB - Quality Assurance;In Process;23/09/2022;Mason (213I);KBI (9447);23/09/2022;"Cliente não ficou sabendo do ocorrido pois, foi detectado na chegada da máquina à Mason CTG.

Os custos de serviços serão enviados à Komatsu para reembolso em garantia.";Leandro Leite;213I;Mason;31;FY2022;2022
KBISP202209511;PC130LC-10M0, RADIATOR GROUP, ADAPTADOR, ENTER/LEAKS,   ;PC130LC-10M0;B20117;716 - Bucket;Bucket clearance;ADAPTADOR;;43;Plant.Confirmed;19/09/2022;;22/07/2022;19/09/2022;6208-51-5410;ADAPTADOR;RADIATOR GROUP;ENTER/LEAKS;KDB (Plant) (51);<Guilherme Augusto Macedo>;Pending Request;26/09/2022;BAUKO (213SPA);KBI (9447);26/09/2022;;Luis Siqueira;213SPA;Bauko;7;FY2022;2022
KBISP202209515;PC130LC-10M0, OPERATOR CAB & ROPS, SELO, ENTER/LEAKS,   ;PC130LC-10M0;B20108;6A0 - Hydraulic piping;Hose leak;SELO;;162;Sub.Received;22/09/2022;;11/07/2022;;20Y-53-11540;SELO;OPERATOR CAB & ROPS;ENTER/LEAKS;KDB (Plant) (51);KBI - Construction Service;In Process;27/09/2022;BAUKO (213SPA);KBI (9447);27/09/2022;;Luis Siqueira;213SPA;Bauko;5;FY2022;2022
KBISP202210500;PC130LC-10M0, OTHERS, CONJUNTO ESTEIRA, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20035;301 - Track frame;Track abnormal noise;CONJUNTO ESTEIRA;;454;Closed;28/09/2022;;31/03/2022;07/04/2022;203-32-02482;CONJUNTO ESTEIRA;OTHERS;DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;03/10/2022;BAUKO (213SPA);KBI (9447);03/10/2022;;Luis Siqueira;213SPA;Bauko;5;FY2022;2022
KBISP202210513;PC130LC-10M0, OTHERS, CONJUNTO ESTEIRA, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20092;301 - Track frame;Track abnormal noise;CONJUNTO ESTEIRA;;22,0;Sub.Received;07/10/2022;;22/06/2022;13/09/2022;203-32-02482;CONJUNTO ESTEIRA;OTHERS;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;19/10/2022;BAUKO (213SPA);KBI (9447);19/10/2022;;Luis Siqueira;213SPA;Bauko;12;FY2022;2022
KBISC202210519;PC130LC-10M0, ACCESSORY & PARTS, FECHADURA PORTA INSPEÇÃO, WRONG/MISSING PART, PERDA DA TRAVA DA PORTA DE INSPEÇÃO  ;PC130LC-10M0;B20113;301 - Track frame;Track abnormal noise;PERDA DA TRAVA DA PORTA DE INSPEÇÃO;;212;Sub.Received;29/09/2022;;20/07/2022;;20Y-54-77160;FECHADURA PORTA INSPEÇÃO;ACCESSORY & PARTS;WRONG/MISSING PART;KDB (Plant) (51);KBI - Construction Service;In Process;24/10/2022;MANTOMAC-CHA (213SCA);KBI (9447);24/10/2022;;Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);25;FY2022;2022
KBI9A202209504;PC130LC-10M0, REVOLVING FRAME,COUNTER WEIGHT, Espuma, DEFECTIVE ADJUSTMENT, B20042  ;PC130LC-10M0;B20042;6A0 - Hydraulic piping;Hose leak;Espuma;;532;Sub.Received;22/09/2022;;11/04/2022;20/07/2022;203-54-17270;Espuma;REVOLVING FRAME,COUNTER WEIGHT;DEFECTIVE ADJUSTMENT;KDB (Plant) (51);KBI - Construction Service;In Process;28/09/2022;DCCO (213GOC);KBI (9447);26/10/2022;Essa e a primeira falha ocorrida em nossa região. A principio e necessário fazer a fixação da espuma ou fazer a sua substituição;CLAYTON SOUSA;213GOC;DCCO;34;FY2022;2022
KBISC202211500;PC130LC-10M0, AIR CONDITIONER, HOSE, MALFUNCTION, AR CONDICIONADO NAO ESTA FUNCIONANDO  ;PC130LC-10M0;B20154;450 - A/C;Condensor support crack;AR CONDICIONADO NAO ESTA FUNCIONANDO;;16;Plant.Confirmed;03/10/2022;28/10/2022;12/09/2022;03/10/2022;204-979-7121;HOSE;AIR CONDITIONER;MALFUNCTION;KDB (Plant) (51);KDB - Quality Assurance;In Process;03/11/2022;MANTOMAC-CHA (213SCA);KBI (9447);03/11/2022;"EQUIPAMENTO NOVO.
CLIENTE FECHOU PLANO PMP 250 – 2000 HRS.";Luciana Lumbieri;213RSB;MANTOMAC-CHA (213SCA);31;FY2022;2022
KBISP202210514;PC130LC-10M0, TRAVEL MOTOR ASSY, MOTOR DE DESLOCAMENTO, DEFECTIVE APPEARANCE, DIFERNÇA VELOC. MOTORES DE DESLOCAMENTO  ;PC130LC-10M0;B20108;301 - Track frame;Track abnormal noise;DIFERNÇA VELOC. MOTORES DE DESLOCAMENTO;;317;Sub.Received;18/10/2022;;11/07/2022;;TZ710D200000-B;MOTOR DE DESLOCAMENTO;TRAVEL MOTOR ASSY;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;19/10/2022;BAUKO (213SPA);KBI (9447);08/11/2022;"TÉCNICO REALIZOU SEGUNDA VISITA PARA TESTES NA DATA DE 28/10/2022 - REALIZADO INVERSÃO DAS VÁLVULAS DE ALÍVIO DOS MOTORES HIDRAULICOS, VERIFICADO SOLENÓIDES DA RÉGUA, TESTE DE FULGA NO MOTOR DE AMBOS OS LADOS, PRESSÃO DE STOLL DOS MOTORES 354KgF/cm.
TODOS OS TESTES ESTÃO DENTRO DO PADRÃO, PORÉM MESMO ASSIM MÁQUINA CONTINUA DESVIANDO.";Calvin Lee;213SPB;Bauko;21;FY2022;2022
KBISP202211503;PC130LC-10M0, ENGINE ASSY, VÁLVULA DRENO, ENTER/LEAKS,   ;PC130LC-10M0;B20053;6A0 - Hydraulic piping;Hose leak;VÁLVULA DRENO;;580;Sub.Submitted;27/10/2022;01/11/2022;27/04/2022;08/06/2022;6738-21-5610;VÁLVULA DRENO;ENGINE ASSY;ENTER/LEAKS;KDB (Plant) (51);<Guilherme Augusto Macedo>;In Process;08/11/2022;BAUKO (213SPA);KBI (9447);08/11/2022;;Luis Siqueira;213SPA;Bauko;12;FY2022;2022
KBISP202211505;PC130LC-10M0, BUCKET(H/E BACKHOE), Caçamba, BROKEN,   ;PC130LC-10M0;B20026;716 - Bucket;Bucket clearance;Caçamba;;977;Closed;03/11/2022;;28/03/2022;02/05/2022;203-70-B2010;Caçamba;BUCKET(H/E BACKHOE);BROKEN;KDB (Plant) (51);;Completed;11/11/2022;BAUKO (213SPA);KBI (9447);11/11/2022;A PEÇA VEIO A FRATURAR POR REDUÇÃO NA ÁREA DE ESFORÇO, PROVENIENTE DA PROPAGAÇÃO DA TRINCA, MÁQUINA FALHOU APÓS 7 MESES DA ENTREGA TECNICA, EQUIPAMENTO COM BAIXO HORIMETRO E PRIMEIRA REVISÃO DE 500 HORAS FEITA COM O DISTRIBUIDOR BAUKO.;Gabriel Augusto;213ESD;Bauko;8;FY2022;2022
KBISC202211504;PC130LC-10M0, ACCESSORY & PARTS, PARAFUSO, MALFUNCTION, PARAFUSO TRAVA DO PISTAO DO CILINDRO  ;PC130LC-10M0;B20079;H17 - Arm cylinder;Arm cylinder trim;PARAFUSO TRAVA DO PISTAO DO CILINDRO;;144;Sub.Received;19/08/2022;23/08/2022;03/06/2022;05/07/2022;01010-81435;PARAFUSO;ACCESSORY & PARTS;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;17/11/2022;MANTOMAC-CHA (213SCA);KBI (9447);17/11/2022;;Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);90;FY2022;2022
KBISP202211514;PC130LC-10M0, RADIATOR GROUP, ADAPTADOR, ENTER/LEAKS,   ;PC130LC-10M0;B20089;716 - Bucket;Bucket clearance;ADAPTADOR;;512;Plant.Confirmed;18/11/2022;;21/06/2022;;6208-51-5410;ADAPTADOR;RADIATOR GROUP;ENTER/LEAKS;KDB (Plant) (51);KDB - Quality Assurance;In Process;23/11/2022;BAUKO (213SPA);KBI (9447);23/11/2022;;Luis Siqueira;213SPA;Bauko;5;FY2022;2022
KBISP202211515;PC130LC-10M0, BUCKET(H/E BACKHOE), BUCKET, BROKEN,   ;PC130LC-10M0;B20024;716 - Bucket;Bucket clearance;BUCKET;;1409;Sub.Received;18/11/2022;18/11/2022;23/03/2022;11/04/2022;203-79-B2010;BUCKET;BUCKET(H/E BACKHOE);BROKEN;KDB (Plant) (51);KBI - Construction Service;In Process;24/11/2022;BAUKO (213SPA);KBI (9447);24/11/2022;"A PEÇA VEIO A FRATURAR POR REDUÇÃO NA ÁREA DE ESFORÇO, PROVENIENTE DA PROPAGAÇÃO DA TRINCA.
 PARA REALIZAR O ENSAIO DE LIQUIDO PENETRANTE, FOI UTILIZADO OS APARAMETROS E PROCESSOS DA NORMA  NBR 16450.

Cliente novo com Komatsu, primeiro equipamento adiquirido no mes de abril de 2022, cliente com revisoes periodicas na concessionaria.";Caio Rodrigues;213ESD;Bauko;6;FY2022;2022
KBISP202211516;PC130LC-10M0, OPERATOR CAB & ROPS, PARTES LATERAIS CINZAS DO PARABRISA, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20095;000 - Machine;Painting;PARTES LATERAIS CINZAS DO PARABRISA;;404;Sub.Received;22/11/2022;25/11/2022;22/06/2022;03/08/2022;NA;PARTES LATERAIS CINZAS DO PARABRISA;OPERATOR CAB & ROPS;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;25/11/2022;BAUKO (213SPA);KBI (9447);25/11/2022;Devemos fazer o reparo em garantia. Refazer a pintura.;Rafaella Ribeiro;213SPC;Bauko;3;FY2022;2022
KBISC202212501;PC130LC-10M0, HYDRAULIC CYLINDER, ORING, ENTER/LEAKS, VAZAMENTO DE OLEO NO TUBO DO CILINDRO  ;PC130LC-10M0;B20154;6A0 - Hydraulic piping;Hose leak;VAZAMENTO DE OLEO NO TUBO DO CILINDRO;;91,0;Sub.Received;23/11/2022;23/11/2022;12/09/2022;03/10/2022;02896-11018;ORING;HYDRAULIC CYLINDER;ENTER/LEAKS;KDB (Plant) (51);KBI - Construction Service;In Process;01/12/2022;MANTOMAC-CHA (213SCA);KBI (9447);01/12/2022;EQUIPAMENTO NOVO COM APENAS 91 HS.;Luciana Lumbieri;213RSB;MANTOMAC-CHA (213SCA);8;FY2022;2022
KBISP202212500;PC130LC-10M0, FUEL TANK GROUP, FILTRO DE COMBUSTÍVEL, MALFUNCTION,   ;PC130LC-10M0;B20050;;;FILTRO DE COMBUSTÍVEL;;594,0;Sub.Received;09/11/2022;;22/04/2022;15/06/2022;600-311-3620;FILTRO DE COMBUSTÍVEL;FUEL TANK GROUP;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;01/12/2022;BAUKO (213SPA);KBI (9447);01/12/2022;;Luis Siqueira;213SPA;Bauko;22;FY2022;2022
KBIMB202212501;PC130LC-10M0, OTHERS, INTERRUPTOR, MALFUNCTION, FALHA ACIONAMENTO BUZINA  ;PC130LC-10M0;B20085;D00 - Electric system;Nozzler malfunction;FALHA ACIONAMENTO BUZINA;;1050;Sub.Received;10/11/2022;;13/06/2022;21/07/2022;22U-43-21211;INTERRUPTOR;OTHERS;MALFUNCTION;KDB (Plant) (51);KBI - Construction Service;In Process;08/12/2022;Mason (213I);KBI (9447);08/12/2022;;Higor Alves;213MGC;Mason;28;FY2022;2022
KBISP202212503;PC130LC-10M0, RADIATOR GROUP, anticongelante, HIGH/LOW LEVEL,   ;PC130LC-10M0;B20144;6A0 - Hydraulic piping;Hose leak;anticongelante;;29;Plant.QA Approved;29/11/2022;;24/08/2022;;600-411-1113;anticongelante;RADIATOR GROUP;HIGH/LOW LEVEL;KDB (Plant) (51);KDB - Quality Assurance;In Process;08/12/2022;BAUKO (213SPA);KBI (9447);08/12/2022;;Luis Siqueira;213SPA;Bauko;9;FY2022;2022
KBIMB202212503;PC130LC-10M0, AIR CONDITIONER, HINGE, WELDED, DEFECTIVE APPEARANCE, QUEBRA SUPORTE CONDENSADOR  ;PC130LC-10M0;B20085;450 - A/C;Condensor support crack;QUEBRA SUPORTE CONDENSADOR;;1050;Sub.Received;10/11/2022;;13/06/2022;21/07/2022;198-06-62820;HINGE, WELDED;AIR CONDITIONER;DEFECTIVE APPEARANCE;KDB (Plant) (51);KBI - Construction Service;In Process;09/12/2022;Mason (213I);KBI (9447);09/12/2022;Foi efetuado o aperto correto dos parafusos do condensador, porem veio ocasionar a quebra dasolda de fixação da dobradiça;Higor Alves;213MGC;Mason;29;FY2022;2022
KBISC202212523;PC130LC-10M0, HYDRAULIC PIPING(1), 00000, MALFUNCTION, DESVIO NO DESLOCAMENTO PARA A DIREITA  ;PC130LC-10M0;B20106;;;DESVIO NO DESLOCAMENTO PARA A DIREITA;;63;Plant.QA Approved;22/12/2022;;30/06/2022;29/11/2022;000000;00000;HYDRAULIC PIPING(1);MALFUNCTION;KDB (Plant) (51);KDB - Quality Assurance;In Process;23/12/2022;MANTOMAC-CHA (213SCA);KBI (9447);23/12/2022;EQUIPAMENTO NOVO.;Luciana Lumbieri;213RSB;MANTOMAC-CHA (213SCA);1;FY2022;2022
